ds,holiday,country,year
2019-06-09,Punkosd,HU,2019
2019-06-10,Punkosdhetfo,HU,2019
2019-08-19,Az allamalapitas unnepe elotti pihenonap,HU,2019
2019-08-20,Az allamalapitas unnepe,HU,2019
2019-10-23,Nemzeti unnep,HU,2019
2019-11-01,Mindenszentek,HU,2019
2019-12-24,Szenteste,HU,2019
2019-12-25,Karacsony,HU,2019
2019-12-26,Karacsony masnapja,HU,2019
2019-12-27,Karacsony masnapja utani pihenonap,HU,2019
2020-01-01,Ujev,HU,2020
2020-03-15,Nemzeti unnep,HU,2020
2020-04-10,Nagypentek,HU,2020
2020-04-12,Husvet,HU,2020
2020-04-13,Husvet Hetfo,HU,2020
2020-05-01,A Munka unnepe,HU,2020
2020-05-31,Punkosd,HU,2020
2020-06-01,Punkosdhetfo,HU,2020
2020-08-20,Az allamalapitas unnepe,HU,2020
2020-08-21,Az allamalapitas unnepe utani pihenonap,HU,2020
2020-10-23,Nemzeti unnep,HU,2020
2020-11-01,Mindenszentek,HU,2020
2020-12-24,Szenteste,HU,2020
2020-12-25,Karacsony,HU,2020
2020-12-26,Karacsony masnapja,HU,2020
2021-01-01,Ujev,HU,2021
2021-03-15,Nemzeti unnep,HU,2021
2021-04-02,Nagypentek,HU,2021
2021-04-04,Husvet,HU,2021
2021-04-05,Husvet Hetfo,HU,2021
2021-05-01,A Munka unnepe,HU,2021
2021-05-23,Punkosd,HU,2021
2021-05-24,Punkosdhetfo,HU,2021
2021-08-20,Az allamalapitas unnepe,HU,2021
2021-10-23,Nemzeti unnep,HU,2021
2021-11-01,Mindenszentek,HU,2021
2021-12-24,Szenteste,HU,2021
2021-12-25,Karacsony,HU,2021
2021-12-26,Karacsony masnapja,HU,2021
2022-01-01,Ujev,HU,2022
2022-03-14,Nemzeti unnep elotti pihenonap,HU,2022
2022-03-15,Nemzeti unnep,HU,2022
2022-04-15,Nagypentek,HU,2022
2022-04-17,Husvet,HU,2022
2022-04-18,Husvet Hetfo,HU,2022
2022-05-01,A Munka unnepe,HU,2022
2022-06-05,Punkosd,HU,2022
2022-06-06,Punkosdhetfo,HU,2022
2022-08-20,Az allamalapitas unnepe,HU,2022
2022-10-23,Nemzeti unnep,HU,2022
2022-10-31,Mindenszentek elotti pihenonap,HU,2022
2022-11-01,Mindenszentek,HU,2022
2022-12-25,Karacsony,HU,2022
2022-12-26,Karacsony masnapja,HU,2022
2023-01-01,Ujev,HU,2023
2023-03-15,Nemzeti unnep,HU,2023
2023-04-07,Nagypentek,HU,2023
2023-04-09,Husvet,HU,2023
2023-04-10,Husvet Hetfo,HU,2023
2023-05-01,A Munka unnepe,HU,2023
2023-05-28,Punkosd,HU,2023
2023-05-29,Punkosdhetfo,HU,2023
2023-08-20,Az allamalapitas unnepe,HU,2023
2023-10-23,Nemzeti unnep,HU,2023
2023-11-01,Mindenszentek,HU,2023
2023-12-25,Karacsony,HU,2023
2023-12-26,Karacsony masnapja,HU,2023
2024-01-01,Ujev,HU,2024
2024-03-15,Nemzeti unnep,HU,2024
2024-03-29,Nagypentek,HU,2024
2024-03-31,Husvet,HU,2024
2024-04-01,Husvet Hetfo,HU,2024
2024-05-01,A Munka unnepe,HU,2024
2024-05-19,Punkosd,HU,2024
2024-05-20,Punkosdhetfo,HU,2024
2024-08-19,Az allamalapitas unnepe elotti pihenonap,HU,2024
2024-08-20,Az allamalapitas unnepe,HU,2024
2024-10-23,Nemzeti unnep,HU,2024
2024-11-01,Mindenszentek,HU,2024
2024-12-24,Szenteste,HU,2024
2024-12-25,Karacsony,HU,2024
2024-12-26,Karacsony masnapja,HU,2024
2024-12-27,Karacsony masnapja utani pihenonap,HU,2024
2025-01-01,Ujev,HU,2025
2025-03-15,Nemzeti unnep,HU,2025
2025-04-18,Nagypentek,HU,2025
2025-04-20,Husvet,HU,2025
2025-04-21,Husvet Hetfo,HU,2025
2025-05-01,A Munka unnepe,HU,2025
2025-05-02,A Munka unnepe utani pihenonap,HU,2025
2025-06-08,Punkosd,HU,2025
2025-06-09,Punkosdhetfo,HU,2025
2025-08-20,Az allamalapitas unnepe,HU,2025
2025-10-23,Nemzeti unnep,HU,2025
2025-10-24,Nemzeti unnep utani pihenonap,HU,2025
2025-11-01,Mindenszentek,HU,2025
2025-12-24,Szenteste,HU,2025
2025-12-25,Karacsony,HU,2025
2025-12-26,Karacsony masnapja,HU,2025
2026-01-01,Ujev,HU,2026
2026-01-02,Ujev utani pihenonap,HU,2026
2026-03-15,Nemzeti unnep,HU,2026
2026-04-03,Nagypentek,HU,2026
2026-04-05,Husvet,HU,2026
2026-04-06,Husvet Hetfo,HU,2026
2026-05-01,A Munka unnepe,HU,2026
2026-05-24,Punkosd,HU,2026
2026-05-25,Punkosdhetfo,HU,2026
2026-08-20,Az allamalapitas unnepe,HU,2026
2026-08-21,Az allamalapitas unnepe utani pihenonap,HU,2026
2026-10-23,Nemzeti unnep,HU,2026
2026-11-01,Mindenszentek,HU,2026
2026-12-24,Szenteste,HU,2026
2026-12-25,Karacsony,HU,2026
2026-12-26,Karacsony masnapja,HU,2026
2027-01-01,Ujev,HU,2027
2027-03-15,Nemzeti unnep,HU,2027
2027-03-26,Nagypentek,HU,2027
2027-03-28,Husvet,HU,2027
2027-03-29,Husvet Hetfo,HU,2027
2027-05-01,A Munka unnepe,HU,2027
2027-05-16,Punkosd,HU,2027
2027-05-17,Punkosdhetfo,HU,2027
2027-08-20,Az allamalapitas unnepe,HU,2027
2027-10-23,Nemzeti unnep,HU,2027
2027-11-01,Mindenszentek,HU,2027
2027-12-24,Szenteste,HU,2027
2027-12-25,Karacsony,HU,2027
2027-12-26,Karacsony masnapja,HU,2027
2028-01-01,Ujev,HU,2028
2028-03-15,Nemzeti unnep,HU,2028
2028-04-14,Nagypentek,HU,2028
2028-04-16,Husvet,HU,2028
2028-04-17,Husvet Hetfo,HU,2028
2028-05-01,A Munka unnepe,HU,2028
2028-06-04,Punkosd,HU,2028
2028-06-05,Punkosdhetfo,HU,2028
2028-08-20,Az allamalapitas unnepe,HU,2028
2028-10-23,Nemzeti unnep,HU,2028
2028-11-01,Mindenszentek,HU,2028
2028-12-25,Karacsony,HU,2028
2028-12-26,Karacsony masnapja,HU,2028
2029-01-01,Ujev,HU,2029
2029-03-15,Nemzeti unnep,HU,2029
2029-03-16,Nemzeti unnep utani pihenonap,HU,2029
2029-03-30,Nagypentek,HU,2029
2029-04-01,Husvet,HU,2029
2029-04-02,Husvet Hetfo,HU,2029
2029-04-30,A Munka unnepe elotti pihenonap,HU,2029
2029-05-01,A Munka unnepe,HU,2029
2029-05-20,Punkosd,HU,2029
2029-05-21,Punkosdhetfo,HU,2029
2029-08-20,Az allamalapitas unnepe,HU,2029
2029-10-22,Nemzeti unnep elotti pihenonap,HU,2029
2029-10-23,Nemzeti unnep,HU,2029
2029-11-01,Mindenszentek,HU,2029
2029-11-02,Mindenszentek utani pihenonap,HU,2029
2029-12-24,Szenteste,HU,2029
2029-12-25,Karacsony,HU,2029
2029-12-26,Karacsony masnapja,HU,2029
2029-12-31,Szilveszter,HU,2029
2029-12-31,Ujev elotti pihenonap,HU,2029
2030-01-01,Ujev,HU,2030
2030-03-15,Nemzeti unnep,HU,2030
2030-04-19,Nagypentek,HU,2030
2030-04-21,Husvet,HU,2030
2030-04-22,Husvet Hetfo,HU,2030
2030-05-01,A Munka unnepe,HU,2030
2030-06-09,Punkosd,HU,2030
2030-06-10,Punkosdhetfo,HU,2030
2030-08-19,Az allamalapitas unnepe elotti pihenonap,HU,2030
2030-08-20,Az allamalapitas unnepe,HU,2030
2030-10-23,Nemzeti unnep,HU,2030
2030-11-01,Mindenszentek,HU,2030
2030-12-24,Szenteste,HU,2030
2030-12-25,Karacsony,HU,2030
2030-12-26,Karacsony masnapja,HU,2030
2030-12-27,Karacsony masnapja utani pihenonap,HU,2030
2031-01-01,Ujev,HU,2031
2031-03-15,Nemzeti unnep,HU,2031
2031-04-11,Nagypentek,HU,2031
2031-04-13,Husvet,HU,2031
2031-04-14,Husvet Hetfo,HU,2031
2031-05-01,A Munka unnepe,HU,2031
2031-05-02,A Munka unnepe utani pihenonap,HU,2031
2031-06-01,Punkosd,HU,2031
2031-06-02,Punkosdhetfo,HU,2031
2031-08-20,Az allamalapitas unnepe,HU,2031
2031-10-23,Nemzeti unnep,HU,2031
2031-10-24,Nemzeti unnep utani pihenonap,HU,2031
2031-11-01,Mindenszentek,HU,2031
2031-12-24,Szenteste,HU,2031
2031-12-25,Karacsony,HU,2031
2031-12-26,Karacsony masnapja,HU,2031
2032-01-01,Ujev,HU,2032
2032-01-02,Ujev utani pihenonap,HU,2032
2032-03-15,Nemzeti unnep,HU,2032
2032-03-26,Nagypentek,HU,2032
2032-03-28,Husvet,HU,2032
2032-03-29,Husvet Hetfo,HU,2032
2032-05-01,A Munka unnepe,HU,2032
2032-05-16,Punkosd,HU,2032
2032-05-17,Punkosdhetfo,HU,2032
2032-08-20,Az allamalapitas unnepe,HU,2032
2032-10-23,Nemzeti unnep,HU,2032
2032-11-01,Mindenszentek,HU,2032
2032-12-24,Szenteste,HU,2032
2032-12-25,Karacsony,HU,2032
2032-12-26,Karacsony masnapja,HU,2032
2033-01-01,Ujev,HU,2033
2033-03-14,Nemzeti unnep elotti pihenonap,HU,2033
2033-03-15,Nemzeti unnep,HU,2033
2033-04-15,Nagypentek,HU,2033
2033-04-17,Husvet,HU,2033
2033-04-18,Husvet Hetfo,HU,2033
2033-05-01,A Munka unnepe,HU,2033
2033-06-05,Punkosd,HU,2033
2033-06-06,Punkosdhetfo,HU,2033
2033-08-20,Az allamalapitas unnepe,HU,2033
2033-10-23,Nemzeti unnep,HU,2033
2033-10-31,Mindenszentek elotti pihenonap,HU,2033
2033-11-01,Mindenszentek,HU,2033
2033-12-25,Karacsony,HU,2033
2033-12-26,Karacsony masnapja,HU,2033
2034-01-01,Ujev,HU,2034
2034-03-15,Nemzeti unnep,HU,2034
2034-04-07,Nagypentek,HU,2034
2034-04-09,Husvet,HU,2034
2034-04-10,Husvet Hetfo,HU,2034
2034-05-01,A Munka unnepe,HU,2034
2034-05-28,Punkosd,HU,2034
2034-05-29,Punkosdhetfo,HU,2034
2034-08-20,Az allamalapitas unnepe,HU,2034
2034-10-23,Nemzeti unnep,HU,2034
2034-11-01,Mindenszentek,HU,2034
2034-12-25,Karacsony,HU,2034
2034-12-26,Karacsony masnapja,HU,2034
2035-01-01,Ujev,HU,2035
2035-03-15,Nemzeti unnep,HU,2035
2035-03-16,Nemzeti unnep utani pihenonap,HU,2035
2035-03-23,Nagypentek,HU,2035
2035-03-25,Husvet,HU,2035
2035-03-26,Husvet Hetfo,HU,2035
2035-04-30,A Munka unnepe elotti pihenonap,HU,2035
2035-05-01,A Munka unnepe,HU,2035
2035-05-13,Punkosd,HU,2035
2035-05-14,Punkosdhetfo,HU,2035
2035-08-20,Az allamalapitas unnepe,HU,2035
2035-10-22,Nemzeti unnep elotti pihenonap,HU,2035
2035-10-23,Nemzeti unnep,HU,2035
2035-11-01,Mindenszentek,HU,2035
2035-11-02,Mindenszentek utani pihenonap,HU,2035
2035-12-24,Szenteste,HU,2035
2035-12-25,Karacsony,HU,2035
2035-12-26,Karacsony masnapja,HU,2035
2035-12-31,Szilveszter,HU,2035
2035-12-31,Ujev elotti pihenonap,HU,2035
2036-01-01,Ujev,HU,2036
2036-03-15,Nemzeti unnep,HU,2036
2036-04-11,Nagypentek,HU,2036
2036-04-13,Husvet,HU,2036
2036-04-14,Husvet Hetfo,HU,2036
2036-05-01,A Munka unnepe,HU,2036
2036-05-02,A Munka unnepe utani pihenonap,HU,2036
2036-06-01,Punkosd,HU,2036
2036-06-02,Punkosdhetfo,HU,2036
2036-08-20,Az allamalapitas unnepe,HU,2036
2036-10-23,Nemzeti unnep,HU,2036
2036-10-24,Nemzeti unnep utani pihenonap,HU,2036
2036-11-01,Mindenszentek,HU,2036
2036-12-24,Szenteste,HU,2036
2036-12-25,Karacsony,HU,2036
2036-12-26,Karacsony masnapja,HU,2036
2037-01-01,Ujev,HU,2037
2037-01-02,Ujev utani pihenonap,HU,2037
2037-03-15,Nemzeti unnep,HU,2037
2037-04-03,Nagypentek,HU,2037
2037-04-05,Husvet,HU,2037
2037-04-06,Husvet Hetfo,HU,2037
2037-05-01,A Munka unnepe,HU,2037
2037-05-24,Punkosd,HU,2037
2037-05-25,Punkosdhetfo,HU,2037
2037-08-20,Az allamalapitas unnepe,HU,2037
2037-08-21,Az allamalapitas unnepe utani pihenonap,HU,2037
2037-10-23,Nemzeti unnep,HU,2037
2037-11-01,Mindenszentek,HU,2037
2037-12-24,Szenteste,HU,2037
2037-12-25,Karacsony,HU,2037
2037-12-26,Karacsony masnapja,HU,2037
2038-01-01,Ujev,HU,2038
2038-03-15,Nemzeti unnep,HU,2038
2038-04-23,Nagypentek,HU,2038
2038-04-25,Husvet,HU,2038
2038-04-26,Husvet Hetfo,HU,2038
2038-05-01,A Munka unnepe,HU,2038
2038-06-13,Punkosd,HU,2038
2038-06-14,Punkosdhetfo,HU,2038
2038-08-20,Az allamalapitas unnepe,HU,2038
2038-10-23,Nemzeti unnep,HU,2038
2038-11-01,Mindenszentek,HU,2038
2038-12-24,Szenteste,HU,2038
2038-12-25,Karacsony,HU,2038
2038-12-26,Karacsony masnapja,HU,2038
2039-01-01,Ujev,HU,2039
2039-03-14,Nemzeti unnep elotti pihenonap,HU,2039
2039-03-15,Nemzeti unnep,HU,2039
2039-04-08,Nagypentek,HU,2039
2039-04-10,Husvet,HU,2039
2039-04-11,Husvet Hetfo,HU,2039
2039-05-01,A Munka unnepe,HU,2039
2039-05-29,Punkosd,HU,2039
2039-05-30,Punkosdhetfo,HU,2039
2039-08-20,Az allamalapitas unnepe,HU,2039
2039-10-23,Nemzeti unnep,HU,2039
2039-10-31,Mindenszentek elotti pihenonap,HU,2039
